direccion_completa,Gasolina 95,Gasolina 98,Diésel,Diésel premium,rotulo,horario,ultimo_dato
"420 Km 275, 13640 Herencia (Ciudad Real)",1.969,2.079,1.979,2.029,PETRONOR,L-D: 06:00-12:00,2022-07-20 00:00:00
"A- 4 Km 628.5, 11407 Jerez De La Frontera (Cádiz)",1.979,2.119,1.959,2.039,SHELL,L-D: 05:00-23:00,2022-07-19 14:00:00
"A-1 Km 152,8, 09471 Fuentespina (Burgos)",1.973,2.126,1.975,2.041,CEPSA,L-D: 07:00-23:00,2022-07-20 00:00:00
"A-121 Km 2, 50529 Alberite De San Juan (Zaragoza)",1.949,,1.925,2.005,CEPSA,L-V: 09:00-13:00,2022-07-20 00:00:00
"A-131 Km 16,8, 22234 Ballobar (Huesca)",1.95,,1.94,2.01,CEPSA,L-V: 07:00-20:30; S: 07:00-14:00; D: 07:00-13:00,2022-07-18 13:01:00
"A-132 Km 14, 22810 La Sotonera (Huesca)",1.999,,1.969,1.999,REPSOL,L-D: 06:30-22:30,2022-07-18 16:41:00
"A-138 Km 50,53, 22360 Labuerda (Huesca)",2.069,2.199,2.049,2.115,ESTACION DE SERVICIO RV,L-D: 06:30-22:30,2022-07-19 11:27:00
"A-140 Km 13,5, 22550 Tamarite De Litera (Huesca)",1.96,2.18,1.95,,ESC,L-D: 24H,2022-07-19 00:00:00
"A-2 Km 8,000, 08750 Molins De Rei (Barcelona)",1.974,,1.954,2.024,GALP,L-D: 06:00-22:00,2022-07-20 02:14:00
"A-2003 Km 25,5, 11570 Jerez De La Frontera (Cádiz)",2.059,,1.999,,LIBRE,L-D: 07:00-22:00,2022-07-18 19:57:00
"A-231 Km 49, 24320 Sahagún (León)",1.994,2.126,1.985,2.065,CEPSA,L-D: 06:00-22:00,2022-07-20 00:00:00
"A-231 Km 50, 24320 Sahagún (León)",1.994,2.126,1.985,2.065,CEPSA,L-D: 06:00-22:00,2022-07-20 00:00:00
"A-311 (Jaen-Andujar) Km 9,4, 23180 Fuerte Del Rey (Jaén)",1.999,,1.979,2.069,AGLA,L: 07:00-22:00,2022-07-19 11:11:00
"A-334 Km 4.5, 18800 Baza (Granada)",2.039,2.189,1.989,2.069,REPSOL,L-D: 06:30-22:30,2022-07-19 00:00:00
"A-345 Km 64,7, 18700 Albuñol (Granada)",1.979,2.089,1.989,2.039,REPSOL,L: 07:00-20:00,2022-07-20 00:00:00
"A-35 Km 39, 46692 Montesa (Valencia / València)",2.029,,1.979,2.059,SHELL,L-D: 07:00-23:00,2022-07-19 15:00:00
"A-354 Km 11, 29200 Antequera (Málaga)",1.979,2.089,1.979,2.029,REPSOL,L-D: 07:00-23:00,2022-07-20 00:00:00
"A-384 Km 44, 29330 Almargen (Málaga)",2.119,,2.069,2.139,CEPSA,L: 06:00-22:00,2022-07-18 12:22:00
"A-4 Km 552,4, 41700 Dos Hermanas (Sevilla)",2.01,2.159,1.999,2.079,CEPSA,L-V: 06:00-22:00; S: 07:00-15:00,2022-07-18 08:33:00
"A-45 Km 147,8, 29160 Casabermeja (Málaga)",1.989,,1.989,2.069,CEPSA,L-D: 06:00-23:59,2022-07-20 00:00:00
"A-5 Km 245,2, 10200 Trujillo (Cáceres)",1.969,,1.989,2.069,CEPSA,L-D: 24H,2022-07-20 06:00:00
"A-5 Km 351,5, 06800 Mérida (Badajoz)",1.944,2.076,1.999,2.099,CEPSA,L-D: 06:00-22:00,2022-07-20 00:00:00
"A-5 Km 47,7, 45950 Casarrubios Del Monte (Toledo)",2.058,2.258,2.028,2.128,REPSOL,L-D: 24H,2022-07-18 13:12:00
"A-52 Salida 291, Ctra Ponteareas- As Neves, Km Po-9006, 36459 Salvaterra De Miño (Pontevedra)",2.05,2.155,2.015,2.079,LA PARADA - VALCARCE,L-D: 24H,2022-07-19 15:00:00
"A-6 Km 25,5, 28230 Las Rozas De Madrid (Madrid)",2.049,2.179,2.029,2.069,REPSOL,L-D: 24H,2022-07-18 07:00:00
"A-6, Salida 419/420 Km 419, 24524 Vega De Valcarce (León)",2.019,,1.989,,VALCARCE,L-D: 24H,2022-07-20 00:00:00
"A-62 Km 138,6, 47130 Simancas (Valladolid)",1.999,2.131,1.979,2.059,CEPSA,L-D: 24H,2022-07-20 06:00:00
"A-62 Km 177,8, 47511 Siete Iglesias De Trabancos (Valladolid)",1.974,,1.985,2.065,CEPSA,L-D: 24H,2022-07-20 06:00:00
"A-62 Km 225, 37427 Pedrosillo El Ralo (Salamanca)",1.974,,1.985,2.085,CEPSA,L-D: 06:00-22:00,2022-07-20 00:00:00
"A-62 Km 275, 37460 Aldehuela De La Bóveda (Salamanca)",2.059,,1.999,,BERNAL,L-D: 07:30-23:00,2022-07-19 11:41:00
"A-62 Km 41,6, 34257 Villodrigo (Palencia)",1.979,2.111,1.969,2.049,CEPSA,L-D: 08:00-21:00,2022-07-20 00:00:00
"A-7 Km 17, 03109 Tibi (Alicante)",1.999,2.141,1.969,2.059,BP,L-D: 06:30-22:00,2022-07-19 07:15:00
"A-92 Km 15,4, 41500 Alcalá De Guadaíra (Sevilla)",1.979,,1.989,2.069,CEPSA,L-D: 24H,2022-07-20 06:00:00
"A-92 Km 239,000, 18220 Albolote (Granada)",2.039,2.199,1.999,2.079,GALP,L-D: 24H,2022-07-19 07:00:00
"A-92 Km 239,000, 18220 Albolote (Granada)",2.039,2.199,1.999,2.079,GALP,L-D: 24H,2022-07-19 07:00:00
"A-92 Sevilla-Malaga Km 5.900, 41500 Alcalá De Guadaíra (Sevilla)",1.989,,1.949,2.029,SHELL,L-V: 06:00-21:00,2022-07-19 14:00:00
"A-92a Km 333, 04500 Fiñana (Almería)",2.089,2.209,1.999,2.059,CEPSA,L-D: 06:00-00:00,2022-07-18 23:00:00
"A 480 Km 25,8, 11408 Jerez De La Frontera (Cádiz)",1.914,2.054,1.874,1.954,SHELL,L-V: 06:00-22:00,2022-07-19 14:00:00
"A Ii, Km Km 299,3, 50196 La Muela (Zaragoza)",1.979,2.119,1.974,2.054,SHELL,L-D: 24H,2022-07-19 14:00:00
"A Pedra, 15360 Cariño (Coruña (A))",2.139,2.179,2.019,2.079,ORTEGAL OIL,L-S: 08:00-14:00 y 16:00-20:00,2022-07-18 15:07:00
"A315 Torreperogil A Baza Km 63,15, 23485 Pozo Alcón (Jaén)",1.999,2.119,1.949,2.039,GALP,L-D: 07:00-22:00,2022-07-18 01:17:00
"A494 Km 17,400, 21810 Palos De La Frontera (Huelva)",1.959,2.069,1.979,2.029,REPSOL,L: 07:00-22:00,2022-07-20 00:00:00
"Ac-862 Km 24, 15563 Moeche (Coruña (A))",2.129,,2.019,2.099,ORTEGAL OIL,L-S: 07:00-22:00; D: 08:00-22:00,2022-07-18 15:04:00
"Ac-862 Km 31,30, 15569 Cerdido (Coruña (A))",2.129,2.259,2.019,,ORTEGAL OIL,L-S: 08:00-14:00 y 16:00-20:00,2022-07-18 15:08:00
"Ac 840 Km 6,89, 15380 Oza-Cesuras (Coruña (A))",1.999,2.179,1.939,1.999,E.S. OZAGAS,L-D: 07:00-23:00,2022-07-19 17:22:00
"Acceso A-66, S/N, 06240 Fuente De Cantos (Badajoz)",2.019,2.239,2.019,2.099,GALP,L-D: 06:00-23:00,2022-07-18 08:45:00
"Acceso A-92, 282, 18181 Darro (Granada)",1.999,,1.939,,CARBURANTES A92,L-V: 07:00-21:00; S: 07:00-14:00,2022-07-19 22:26:00
"Acceso Acceso Aeropuerto Tenerife Sur, 1, 38610 Granadilla De Abona (Santa Cruz De Tenerife)",1.612,,1.592,,DISA AEROPUERTO TFS,L-D: 24H,2022-07-19 16:35:00
"Acceso Aeropuerto De Barcelona, Lado Aire, S/N, 08830 Sant Boi De Llobregat (Barcelona)",2.039,,2.049,,CEPSA,L-D: 24H,2022-07-20 06:00:00
"Acceso Aeropuerto De Lanzarote-Lado Aire, Sn, 35500 Arrecife (Palmas (Las))",1.599,,1.624,,CEPSA,L-D: 07:00-23:00,2022-07-20 00:00:00
"Acceso Aeropuerto De Lanzarote-Lado Tierra, Sn, 35500 Arrecife (Palmas (Las))",1.599,1.689,1.579,1.684,CEPSA,L-D: 07:00-23:00,2022-07-20 00:00:00
"Acceso Aéropuerto Lavacolla, S/N, 15702 Santiago De Compostela (Coruña (A))",2.081,2.351,2.011,2.099,SHELL,L-D: 07:00-23:00,2022-07-19 07:09:00
"Acceso Area De Expansion Ganadera, 2, 44450 La Puebla De Valverde (Teruel)",,,,,CEREALES TERUEL,L-V: 24H,2022-07-19 15:30:00
"Acceso Barbastro-Alquezar, 0, 22145 Alquézar (Huesca)",2.08,,2.06,,ESTACION DE SERVICIO,L-D: 09:00-14:00 y 16:00-19:00,2022-07-18 09:44:00
"Acceso Carretera A La Hidalga, S/N, 38550 Arafo (Santa Cruz De Tenerife)",1.584,1.744,1.574,1.709,CEPSA,L-D: 24H,2022-07-20 00:00:00
"Acceso Cra. Nacional 625, 0, 33547 Cangas De Onís (Asturias)",,2.189,1.979,2.069,GALP ARRIONDAS,L-D: 06:00-22:00,2022-07-20 02:14:00
"Acceso Ctra, 4, 08251 Santpedor (Barcelona)",1.979,2.089,1.969,2.019,REPSOL,L-V: 06:00-22:00,2022-07-20 00:00:00
"Acceso Ctra. N-Vi.  Robra,, 27150 Outeiro De Rei (Lugo)",1.939,2.219,1.929,,Q8,L-D: 24H,2022-07-19 12:20:00
"Acceso Norte A Vandellòs (C-233 Km 9,8), 43891 Vandellòs I L'hospitalet De L'infant (Tarragona)",1.899,,1.855,1.885,ALAS,L-D: 07:00-13:00 y 15:00-21:00,2022-07-19 11:12:00
"Acceso Partida Saso Bajo, S/N, 22250 Lanaja (Huesca)",,,2.005,,AN ENERGÉTICOS - LANAJA,L-D: 24H,2022-07-18 09:44:00
"Acceso Plan Parcial Les Viñes Cv 403 Nuevo Acceso A Xirivella C-3215, Sn, 46920 Mislata (Valencia / València)",2.029,,1.974,2.044,GALP,L-D: 06:00-22:00,2022-07-19 19:33:00
"Ad Bracana Sn, 14812 Almedinilla (Córdoba)",1.93,,1.875,,S.C.A. NTRA. SRA. CARMEN,L-D: 24H,2022-07-19 10:26:00
"Adva. Gijon, N-601 Km 194,6, 47610 Zaratán (Valladolid)",2.047,2.189,1.977,2.077,REPOSTAR--ZARATAN,L-D: 07:00-22:00,2022-07-18 14:15:00
"Ae Vial Salida Aeropuerto, S.n., 07611 Palma (Balears (Illes))",2.029,2.169,2.029,2.089,REPSOL,L-D: 24H,2022-07-20 00:00:00
"Agregado Naranjo, S/N, 30011 Murcia (Murcia)",,,,,REPSOL BUTANO,L-V: 08:00-22:00; S-D: 09:00-14:00,2022-07-18 13:59:00
"Aguilar-Barruelo Km 13,3, 34820 Barruelo De Santullán (Palencia)",1.979,,1.949,,LOS LINARES,L-V: 08:00-21:00; S-D: 09:00-14:30 y 16:30-21:00,2022-07-19 10:11:00
"Alameda De Andalucía, 42, 29200 Antequera (Málaga)",1.919,,1.899,,ASC CARBURANTES,L-D: 24H,2022-07-18 08:31:00
