direccion,mun_clean,codigo_postal,provincia,gasolina_95,gasolina_98,diesel,diesel_premium,lon,lat,rotulo,horario,ultimo_dato
"(El Trebol) Avd. Jose Antonio Nº 7 (Salamanca-Coria Km 30,4)",Vecinos,37450,Salamanca,1.759,1.869,1.776,1.857,-5.877528,40.777472,EL TREBOL,L-S: 07:00-22:00; D: 08:00-22:00,2022-04-11T19:57:00Z
(El Trebol) Ctra. Fregeneda Nº 12-22 Salamanca,Salamanca,37008,Salamanca,1.759,1.869,1.776,1.857,-5.67275,40.955806,EL TREBOL,L-S: 07:00-22:00; D: 08:00-22:00,2022-04-11T19:58:00Z
"*El Trebol* Cr.alba De Tormes-Piedrahita  Km 5.200 Km 8,7",Calvarrasa De Arriba,37191,Salamanca,1.729,1.869,1.769,1.849,-5.58675,40.894167,EL TREBOL,L-S: 07:00-22:00; D: 08:00-22:00,2022-04-11T20:08:00Z
420 Km 275,Herencia,13640,Ciudad Real,1.719,1.859,1.789,1.879,-3.344889,39.37325,PETRONOR,L-D: 06:00-12:00,2022-04-12T00:00:00Z
"A 480 Km 25,8",Jerez De La Frontera,11408,Cádiz,1.699,1.839,1.719,1.799,-6.163639,36.682111,SHELL,L-V: 06:00-22:00,2022-04-12T14:00:00Z
"A Ii, Km Km 299,3",La Muela,50196,Zaragoza,1.809,1.949,1.819,1.899,-1.099611,41.58575,SHELL,L-D: 24H,2022-04-12T14:00:00Z
A Pedra,Cariño,15360,Coruña (A),1.82,2.01,1.789,2.03,-7.878278,43.731806,ORTEGAL OIL,L-S: 08:00-14:00 y 16:00-20:00,2022-04-11T14:51:00Z
A- 4 Km 628.5,Jerez De La Frontera,11407,Cádiz,1.749,1.889,1.769,1.849,-6.0715,36.758528,SHELL,L-D: 05:00-23:00,2022-04-12T14:00:00Z
"A-1 Km 152,8",Fuentespina,09471,Burgos,1.792,1.944,1.736,1.797,-3.684833,41.616306,CEPSA,L-D: 07:00-23:00,2022-04-12T00:00:00Z
A-121 Km 2,Alberite De San Juan,50529,Zaragoza,1.759,NA,1.755,1.835,-1.470056,41.815722,CEPSA,L-V: 09:00-13:00,2022-04-12T00:00:00Z
"A-131 Km 16,8",Ballobar,22234,Huesca,1.8,NA,1.8,1.87,0.194139,41.624333,CEPSA,L-V: 07:00-19:00; S: 07:00-14:00,2022-04-12T13:56:00Z
A-132 Km 14,La Sotonera,22810,Huesca,1.769,NA,1.769,1.829,-0.548472,42.211917,REPSOL,L-D: 06:30-22:00,2022-04-11T21:30:00Z
"A-138 Km 50,53",Labuerda,22360,Huesca,1.809,1.941,1.785,1.859,0.132528,42.446444,ESTACION DE SERVICIO RV,L-D: 06:30-22:30,2022-04-12T12:14:00Z
"A-140 Km 13,5",Tamarite De Litera,22550,Huesca,1.795,2.205,1.785,NA,0.419222,41.863667,ESC,L-D: 24H,2022-04-11T00:00:00Z
"A-2 Km 8,000",Molins De Rei,08750,Barcelona,1.769,1.909,1.809,1.879,2.024121,41.391917,GALP,L-D: 06:00-22:00,2022-04-12T02:17:00Z
"A-2003 Km 25,5",Jerez De La Frontera,11570,Cádiz,1.789,NA,1.829,NA,-5.857505,36.628164,LIBRE,L-D: 07:00-22:00,2022-04-12T08:28:00Z
A-231 Km 49,Sahagún,24320,León,1.779,1.911,1.839,1.919,-5.049028,42.380083,CEPSA,L-D: 06:00-22:00,2022-04-12T00:00:00Z
A-231 Km 50,Sahagún,24320,León,1.779,1.911,1.839,1.919,-5.049028,42.381389,CEPSA,L-D: 06:00-22:00,2022-04-12T00:00:00Z
"A-311 (Jaen-Andujar) Km 9,4",Fuerte Del Rey,23180,Jaén,1.859,NA,1.849,1.959,-3.876278,37.87725,AGLA,L: 07:00-22:00,2022-04-11T08:22:00Z
A-334 Km 4.5,Baza,18800,Granada,1.799,1.949,1.799,1.879,-2.766909,37.481666,REPSOL,L-D: 06:30-22:30,2022-04-12T00:00:00Z
"A-345 Km 64,7",Albuñol,18700,Granada,1.729,1.879,1.759,1.809,-3.182889,36.761972,REPSOL,L: 07:00-20:00,2022-04-12T00:00:00Z
A-35 Km 39,Montesa,46692,Valencia / València,1.789,NA,1.789,1.869,-0.629028,38.954306,SHELL,L-D: 07:00-23:00,2022-04-12T15:00:00Z
A-354 Km 11,Antequera,29200,Málaga,1.769,1.879,1.779,1.829,-4.549972,37.022722,REPSOL,L-D: 07:00-23:00,2022-04-12T00:00:00Z
A-384 Km 44,Almargen,29330,Málaga,1.899,NA,1.869,1.909,-5.001444,37.005806,CEPSA,L: 06:00-22:00,2022-04-11T09:54:00Z
"A-4 Km 552,4",Dos Hermanas,41700,Sevilla,1.819,1.959,1.849,1.919,-5.952556,37.296389,CEPSA,L-V: 07:00-21:00; S: 07:00-15:00,2022-04-11T21:21:00Z
"A-45 Km 147,8",Casabermeja,29160,Málaga,1.824,NA,1.839,1.919,-4.429333,36.897833,CEPSA,L-D: 06:00-23:59,2022-04-12T00:00:00Z
A-495  (Avda Portugal) Km 13,San Bartolomé De La Torre,21510,Huelva,1.797,1.877,1.797,NA,-7.098583,37.444222,SARAS,L-D: 06:00-22:00,2022-04-12T18:06:00Z
"A-5 Km 245,2",Trujillo,10200,Cáceres,1.814,1.946,1.825,1.905,-5.835417,39.517556,CEPSA,L-D: 06:00-23:59,2022-04-12T06:00:00Z
"A-5 Km 351,5",Mérida,06800,Badajoz,1.764,1.896,1.829,1.909,-6.448083,38.879583,CEPSA,L-D: 06:00-22:00,2022-04-12T00:00:00Z
"A-5 Km 47,7",Casarrubios Del Monte,45950,Toledo,1.808,1.948,1.868,1.948,-4.136,40.184528,REPSOL,L-D: 24H,2022-04-11T11:13:00Z
"A-52 Salida 291, Ctra Ponteareas- As Neves, Km Po-9006",Salvaterra De Miño,36459,Pontevedra,1.819,1.911,1.835,1.919,-8.462,42.141917,LA PARADA - VALCARCE,L-D: 24H,2022-04-11T15:59:00Z
"A-6 Km 249,7",San Esteban Del Molar,49650,Zamora,1.769,NA,1.795,1.895,-5.544472,41.936528,CEPSA,L-D: 07:00-23:00,2022-04-12T00:00:00Z
"A-6 Km 25,5",Las Rozas De Madrid,28230,Madrid,1.819,1.949,1.839,1.929,-3.8975,40.55275,REPSOL,L-D: 24H,2022-04-11T10:20:00Z
"A-6, Salida 419/420 Km 419",Vega De Valcarce,24524,León,1.899,NA,1.829,NA,-6.914083,42.658806,VALCARCE,L-D: 24H,2022-04-12T00:00:00Z
"A-62 Km 138,6",Simancas,47130,Valladolid,1.784,1.916,1.819,1.899,-4.860583,41.566278,CEPSA,L-D: 24H,2022-04-12T06:00:00Z
"A-62 Km 177,8",Siete Iglesias De Trabancos,47511,Valladolid,1.764,NA,1.815,1.895,-5.178088,41.346954,CEPSA,L-D: 24H,2022-04-12T06:00:00Z
A-62 Km 225,Pedrosillo El Ralo,37427,Salamanca,1.764,NA,1.815,1.915,-5.544444,41.054917,CEPSA,L-D: 06:00-22:00,2022-04-12T00:00:00Z
A-62 Km 275,Aldehuela De La Bóveda,37460,Salamanca,1.799,NA,1.859,NA,-6.05075,40.849972,BERNAL,L-D: 07:30-23:00,2022-04-11T15:24:00Z
"A-62 Km 41,6",Villodrigo,34257,Palencia,1.749,1.881,1.785,1.865,-4.079667,42.159083,CEPSA,L-D: 08:00-21:00,2022-04-12T00:00:00Z
